╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~ды,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
дp┤ф░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелдp┤ф░╧кQлH╕Ї1~30╕╣,41.9,жэ,,,10402,дgжa1л╪кл1иожь1,дн╝h,5,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0880715,139.2,3,2,2,ж│,ж│,3000000,21552,йY╣Dенн▒,0.0,0,,RPSNMLMLLHKFFCE77CA
лe┬э░╧,й╨жa(дgжa+л╪кл),░к╢пеллe┬э░╧┤║╝w╕Ї1~30╕╣,5.83,жэ,,,10402,дgжa1л╪кл1иожь0,дC╝h,7,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0790807,36.06,1,1,1,ж│,╡L,1200000,33278,,0.0,0,,RPVNMLNLLHKFFCE18CA
лe┬э░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пеллe┬э░╧╞XеJд║╕Ї29л╤1~30╕╣,20.79,жэ,,,10403,дgжa1л╪кл1иожь1,дQдG╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1031006,148.28,3,2,2,ж│,ж│,9500000,64068,йY╣Dенн▒,0.0,0,,RPXNMLNLLHKFFCE38CA
дp┤ф░╧,дgжa,й▒┬эмqд@дpмq1201~1230жa╕╣,266.0,░╙,,,10402,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,22500000,84586,,0.0,0,,RPTNMLOLLHKFFCE08CA
дp┤ф░╧,й╨жa(дgжa+л╪кл),░к╢пелдp┤ф░╧дде·╡є1~30╕╣,4.86,жэ,,,10403,дgжa1л╪кл1иожь0,е|╝h,7,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0850122,32.49,1,1,1,ж│,ж│,935000,28778,,0.0,0,,RPUNMLOLLHKFFCE18CA
лe┬э░╧,дgжa,дджwмq31~60жa╕╣,100.13,жэ,,,10403,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,9042000,90303,,0.0,0,,RPTNMLPLLHKFFCE18CA
лe┬э░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пеллe┬э░╧дд╡╪дн╕Ї1441~1470╕╣,10.39,░╙,,,10401,дgжa1л╪кл1иожь1,дC╝h,14,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0950314,106.09,2,1,1,ж│,ж│,7200000,67867,йY╣Dенн▒,0.0,0,,RPVNMLMJMHKFFCE97CA
лe┬э░╧,й╨жa(дgжa+л╪кл),░к╢пеллe┬э░╧╖ч╢й╕Ї194л╤6з╦1~30╕╣,25.77,░╙,,,10402,дgжa2л╪кл1иожь0,д@╝hбA╣q▒ш╝╙▒ш╢б,5,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),,┐√╡м▓V╛одg│y,0690808,63.18,2,2,1,ж│,╡L,4050000,64103,,0.0,0,,RPUOMLRJMHKFFCE48CA
дp┤ф░╧,й╨жa(дgжa+л╪кл),░к1~30╕╣,58.31,жэ,,,10402,дgжa1л╪кл1иожь0,дT╝h,4,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,е[▒j┐j│y,0660425,105.92,3,2,2,ж│,╡L,2800000,26435,,0.0,0,,RPQNMLKKMHKFFCE37CA
лe┬э░╧,й╨жa(дgжa+л╪кл),░к╢пеллe┬э░╧┬эдtдTл╤151~180╕╣,49.0,ифеL,,,10402,дgжa1л╪кл1иожь0,е■,2,│zд╤нэ,жэ░╙е╬,е[▒j┐j│y,0590108,81.16,5,2,4,ж│,╡L,5300000,65303,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPSOMLSJMHKFFCE38CA
дp┤ф░╧,й╨жa(дgжa+л╪кл),░к╢пелдp┤ф░╧енкv╡є1~30╕╣,10.5,░╙,,,10403,дgжa1л╪кл1иожь0,дQд@╝h,16,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0820503,111.91,2,2,2,ж│,ж│,3450000,30828,,0.0,0,,RPVOMLNKMHKFFCE28CA
дp┤ф░╧,й╨жa(дgжa+л╪кл),░к╢пелдp┤ф░╧╖H▓°д@╡є1~30╕╣,81.0,жэ,,,10312,дgжa1л╪кл1иожь0,е■,3,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1021216,160.06,4,2,2,ж│,╡L,13500000,84343,,0.0,0,,RPRNMLOKMHKFFCE87CA
дp┤ф░╧,й╨жa(дgжa+л╪кл),░к╢пелдp┤ф░╧кQ▒^╕Ї142л╤1~30╕╣,23.28,жэ,,,10402,дgжa1л╪кл1иожь0,е|╝h,4,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0670528,48.05,4,2,2,ж│,╡L,830000,17274,,0.0,0,,RPOOMLOKMHKFFCE67CA
дTе┴░╧,й╨жa(дgжa+л╪кл),░к╢пелдTе┴░╧ж█е▀д@╕Ї271~300╕╣,6.31,жэ,,,10403,дgжa1л╪кл1иожь0,дQд@╝h,12,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),,┐√╡м▓V╛одg│y,0700321,63.48,0,0,0,╡L,ж│,2300000,36232,,0.0,0,,RPWNMLRKLHKFFDE68CA
дTе┴░╧,й╨жa(дgжa+л╪кл),░к╢пелдTе┴░╧л╪░ъдG╕Ї61~90╕╣,17.32,жэ,,,10403,дgжa1л╪кл1иожь0,е|╝h,5,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),,┐√╡м▓V╛одg│y,0641212,55.53,2,1,1,ж│,╡L,1600000,28813,,0.0,0,,RPQOMLRKLHKFFDE18CA
дTе┴░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелдTе┴░╧й·╕█д@╕Ї361~390╕╣,21.48,жэ,,,10402,дgжa1л╪кл1иожь1,дQ╝h,12,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0890830,165.82999999999998,4,2,2,ж│,ж│,7300000,44021,йY╣Dенн▒,23.53,0,,RPSNMLSKLHKFFDE38CA
дTе┴░╧,й╨жa(дgжa+л╪кл),░к╢пелдTе┴░╧дjйўдG╕Ї43л╤дCз╦1~30╕╣,31.78,жэ,,,10402,дgжa3л╪кл1иожь0,д@╝h,5,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),,┐√╡м▓V╛одg│y,0690131,99.54,4,2,2,ж│,╡L,6000000,60277,,0.0,0,зt╕╦цC,RPVNMLSKLHKFFDE68CA
дTе┴░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелдTе┴░╧л╪░ъдG╕Ї91~120╕╣,9.23,░╙,,,10402,дgжa1л╪кл2иожь1,дQд@╝h,12,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0830629,104.98,2,2,2,ж│,ж│,3980000,37912,йY╣D╛ў▒ё,0.0,0,,RPVOMLSKLHKFFDE78CA
дTе┴░╧,й╨жa(дgжa+л╪кл),░к╢пелдTе┴░╧е┴йM╡є1~30╕╣,38.53,жэ,,,10401,дgжa1л╪кл1иожь0,дG╝h,5,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),,┐√╡м▓V╛одg│y,0690325,105.79,4,2,2,ж│,╡L,3200000,30249,,0.0,0,,RPXOMLSKLHKFFDE98CA
дTе┴░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелдTе┴░╧й╡жN╡є63л╤31~60╕╣,42.9,жэ,,,10402,дgжa1л╪кл1иожь2,дT╝h,16,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),,┐√╡м▓V╛одg│y,0801104,274.42,4,3,2,ж│,ж│,10500000,38263,йY╣Dенн▒,0.0,0,,RPTNMLTKLHKFFDE58CA
дTе┴░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелдTе┴░╧╣йдO╕Ї151~180╕╣,11.53,░╙,,,10312,дgжa1л╪кл1иожь1,дQдT╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1031124,132.60000000000002,3,2,2,ж│,ж│,7650000,57692,йY╣D╛ў▒ё,11.71,0,,RPOOMLNLLHKFFDE67CA
дTе┴░╧,й╨жa(дgжa+л╪кл),░к╢пелдTе┴░╧дj║╓╡є211~240╕╣,34.33,жэ,,,10402,дgжa1л╪кл1иожь0,д@╝hбAдG╝h,14,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэ░╙е╬,┐√╡м▓V╛одg│y,0861215,173.56,3,2,2,ж│,ж│,10650000,61362,,0.0,0,,RPPOMLNLLHKFFDE77CA
дTе┴░╧,й╨жa(дgжa+л╪кл),░к╢пелдTе┴░╧дj║╓╡є211~240╕╣,33.62,жэ,,,10402,дgжa1л╪кл1иожь0,д@╝hбAдG╝h,14,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэ░╙е╬,┐√╡м▓V╛одg│y,0861215,172.12,3,2,2,ж│,ж│,13150000,76400,,0.0,0,,RPQOMLNLLHKFFDE87CA
дTе┴░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелдTе┴░╧╣йдO╕Ї151~180╕╣,8.68,░╙,,,10312,дgжa1л╪кл1иожь1,дQдT╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1031124,100.84,2,1,2,ж│,ж│,5650000,56029,йY╣D╛ў▒ё,11.71,0,,RPROMLNLLHKFFDE97CA
дTе┴░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелдTе┴░╧╣йдO╕Ї151~180╕╣,13.02,░╙,,,10312,дgжa1л╪кл1иожь1,д╗╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1031124,152.06,3,2,2,ж│,ж│,8860000,58266,йY╣Dенн▒,19.29,0,,RPSOMLNLLHKFFDE08CA
дTе┴░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелдTе┴░╧й·╕█д@╕Ї361~390╕╣,17.54,жэ,,,10402,дgжa1л╪кл1иожь1,дK╝h,14,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0900413,130.87,3,2,2,ж│,ж│,5900000,45083,йY╣Dенн▒,27.02,0,,RPVOMLOLLHKFFDE48CA
дTе┴░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелдTе┴░╧й·дп╕Ї151~180╕╣,19.56,жэ,,,10402,дgжa1л╪кл1иожь1,дK╝h,24,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0960626,250.81,4,2,2,ж│,ж│,20500000,81735,йY╣Dенн▒,22.93,0,,RPSNMLPLLHKFFDE18CA
дTе┴░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелдTе┴░╧╣йдO╕Ї151~180╕╣,8.08,░╙,,,10312,дgжa1л╪кл1иожь1,дQдT╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1031124,93.27,2,1,1,ж│,ж│,5400000,57896,йY╣D╛ў▒ё,11.71,0,,RPTOMLQLLHKFFDE48CA
дTе┴░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелдTе┴░╧╣йдO╕Ї151~180╕╣,15.27,░╙,,,10312,дgжa1л╪кл1иожь1,дT╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1031124,178.92000000000002,4,2,2,ж│,ж│,9630000,53823,йY╣Dенн▒,19.29,0,,RPUOMLQLLHKFFDE58CA
дTе┴░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелдTе┴░╧╣йдO╕Ї151~180╕╣,11.53,░╙,,,10312,дgжa1л╪кл1иожь1,д╗╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1031124,134.13,3,2,2,ж│,ж│,7450000,55543,йY╣D╛ў▒ё,11.71,0,,RPVOMLQLLHKFFDE68CA
дTе┴░╧,й╨жa(дgжa+л╪кл),░к╢пелдTе┴░╧ж█е▀д@╕Ї271~300╕╣,6.31,░╙,,,10402,дgжa1л╪кл1иожь0,дC╝h,12,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),,┐√╡м▓V╛одg│y,0700321,63.260000000000005,2,1,1,ж│,ж│,1850000,29244,,0.0,0,,RPPOMLPLLHKFFDE97CA
дTе┴░╧,й╨жa(дgжa+л╪кл),░к╢пелдTе┴░╧│▀?╡є91~120╕╣,70.0,жэ,,,10402,дgжa1л╪кл1иожь0,е■,2,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0540717,85.01,3,2,2,ж│,╡L,12500000,147042,,0.0,0,,RPQNMLSLLHKFFDE28CA
дTе┴░╧,й╨жa(дgжa+л╪кл),░к╢пелдTе┴░╧╣йдO╕Ї151~180╕╣,7.03,░╙,,,10312,дgжa1л╪кл1иожь0,дG╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1031124,82.73,2,1,1,ж│,ж│,4700000,56811,,0.0,0,,RPVNMLLJMHKFFDE97CA
дTе┴░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелдTе┴░╧╣йдO╕Ї151~180╕╣,13.02,░╙,,,10312,дgжa1л╪кл1иожь1,дK╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1031124,152.06,3,2,2,ж│,ж│,8880000,58398,йY╣Dенн▒,19.29,0,,RPWNMLLJMHKFFDE08CA
дTе┴░╧,й╨жa(дgжa+л╪кл),░к╢пелдTе┴░╧╣йдO╕Ї151~180╕╣,7.03,░╙,,,10312,дgжa1л╪кл1иожь0,дQдн╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1031124,81.55,2,1,1,ж│,ж│,4960000,60822,,0.0,0,,RPXNMLLJMHKFFDE18CA
дTе┴░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелдTе┴░╧╣йдO╕Ї151~180╕╣,11.82,░╙,,,10312,дgжa1л╪кл1иожь1,дQ╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1031124,137.57,3,2,2,ж│,ж│,8280000,60188,йY╣Dенн▒,15.16,0,,RPOOMLLJMHKFFDE37CA
дTе┴░╧,й╨жa(дgжa+л╪кл),░к╢пелдTе┴░╧д╤▓╗д@╕Ї159л╤1~30╕╣,7.21,жэ,,,10402,дgжa2л╪кл1иожь0,дT╝h,5,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0960430,24.32,1,0,1,ж│,ж│,1400000,57566,,0.0,0,,RPXOMLLMLHKFFDE48CA
дTе┴░╧,й╨жa(дgжa+л╪кл),░к╢пелдTе┴░╧дjддд@╕Ї235л╤1~30╕╣,7.88,жэ,,,10403,дgжa1л╪кл1иожь0,дQд@╝hбA╣q▒ш╝╙▒ш╢б,24,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0830523,112.82000000000001,3,2,2,ж│,ж│,3680000,32618,,0.0,0,,RPOOMLSJMHKFFDE08CA
дTе┴░╧,й╨жa(дgжa+л╪кл),░к╢пелдTе┴░╧дjйўдG╕Ї241~270╕╣,3.9,░╙,,,10403,дgжa1л╪кл1иожь0,дC╝h,14,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0880731,43.21,1,1,1,ж│,ж│,1650000,38186,,0.0,0,,RPWOMLTJMHKFFDE98CA
дTе┴░╧,й╨жa(дgжa+л╪кл),░к╢пелдTе┴░╧╕qе├╕Ї54л╤1з╦1~30╕╣,48.0,жэ,,,10403,дgжa1л╪кл1иожь0,е■,2,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0580810,73.36,4,2,2,ж│,╡L,3000000,40894,,0.0,0,,RPQNMLNKMHKFFDE77CA
╖г▒ъ░╧,й╨жa(дgжa+л╪кл),░к╢пел╖г▒ъ░╧е┴йў╡є326л╤31~60╕╣,67.73,жэ,,,10402,дgжa1л╪кл1иожь0,е■,4,│zд╤нэ,жэоaе╬,иги╧е╬░ї╖╙,0930416,148.72,5,2,4,ж│,╡L,7620000,51237,,0.0,0,,RPOPMLQKLHKFFEE08CA
ек└ч░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелек└ч░╧нлдп╕Ї31~60╕╣,11.2,░╙,,,10402,дgжa1л╪кл1иожь1,дQдT╝h,14,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0920212,105.62,2,1,2,ж│,ж│,5500000,52073,йY╣Dенн▒,22.9,0,,RPSNMLRKLHKFFEE38CA
ек└ч░╧,й╨жa(дgжa+л╪кл),░к╢пелек└ч░╧мwеJе_╡є31~60╕╣,210.32,жэ,,,10403,дgжa1л╪кл1иожь0,е■,4,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1030113,378.97,4,2,5,ж│,╡L,39880000,105233,,0.0,0,,RPUNMLRKLHKFFEE58CA
╖г▒ъ░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пел╖г▒ъ░╧▒`┐│╡є61~90╕╣,19.17,░╙,,,10402,дgжa1л╪кл1иожь1,е|╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,игифеж╡n░Oи╞╢╡,1031110,138.48000000000002,3,1,2,ж│,ж│,6230000,44988,йY╣Dенн▒,16.02,0,,RPPOMLRKLHKFFEE18CA
