¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
·s°ñ¶m,¤g¦a,·sªF¬q511~540¦a¸¹,1103.54,¹A,,,10401,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2450000,2220,,0.0,0,,RPOOMLQKLHKFFCT66CA
¼é¦{Âí,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤¼é¦{Âí¿³¤¤¸ô31~60¸¹,123.93,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10403,¤g¦a1«Øª«1¨®¦ì0,¤@¼h¡A¤G¼h,2,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¥[±j¿j³y,0710215,110.93,4,1,2,¦³,µL,1450000,13071,,0.0,0,,RPQNMLRKLHKFFCT86CA
¤º®H¶m,¤g¦a,¹i¼d¬q781~810¦a¸¹,2200.0,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10401,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1900000,864,,0.0,0,,RPPNMLSKLHKFFCT86CA
¼é¦{Âí,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤¼é¦{Âí¸U¤jµó31~60¸¹,101.0,¦í,,,10403,¤g¦a1«Øª«1¨®¦ì0,¥þ,2,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0790927,120.5,4,2,2,¦³,µL,5200000,43154,,0.0,0,,RPPPMLSKLHKFFCT07CA
¤º®H¶m,¤g¦a,ÀsÀV¬q1051~1080¦a¸¹,635.18,¦í,,,10403,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,18198000,28650,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡CÅv§Q¤H¦³2¤H,RPSNMLKLLHKFFCT09CA
¤º®H¶m,¤g¦a,·s¥_¶Õ¬q751~780¦a¸¹,2465.66,¹A,,,10402,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,5000000,2028,,0.0,0,,RPXNMLMJMHKFFCT07CA
¼é¦{Âí,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤¼é¦{ÂíºÖ¬P¸ô331~360¸¹,19.02,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì0,¤­¼h¡A¹q±è¼Ó±è¶¡,8,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0831109,129.92,3,2,2,¦³,µL,2500000,19243,,0.0,0,,RPPNMLSJMHKFFCT86CA
·s¶é¶m,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤·s¶é¶m·sªF¸ô25«Ñ1§Ë1~30¸¹,68.27,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10402,¤g¦a1«Øª«1¨®¦ì0,¥þ,2,³z¤Ñ­í,©±çE¡B¦í¦v,¥[±j¿j³y,0710712,88.95,3,1,1,¦³,µL,750000,8432,,0.0,0,,RPQNMLSKLHKFFDT07CA
·s¶é¶m,¤g¦a,¿³­í¬q811~840¦a¸¹,2507.46,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10402,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4136300,1650,,0.0,0,,RPTNMLSKLHKFFDT37CA
«n¦{¶m,¤g¦a,¹Ø¤¸¬q1111~1140¦a¸¹,2603.91,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10403,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3355000,1288,,0.0,0,,RPWNMLKLLHKFFDT96CA
ªF´äÂí,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤ªF´äÂí²îÀY¸ô1~30¸¹,95.29,¦í,,,10401,¤g¦a1«Øª«1¨®¦ì0,¤@¼h¡A¦a¤U¼h,5,©±­±(©±¾Q),©±çE,¿ûµ¬²V¾®¤g³y,0830625,187.77,0,1,1,¦³,µL,3360000,17894,,0.0,0,,RPXNMLKLLHKFFDT07CA
·s¶é¶m,¤g¦a,·s«n¬q421~450¦a¸¹,54.52,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10402,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,200000,3668,,0.0,0,,RPTNMLKLLHKFFDT66CA
ªF´äÂí,¤g¦a,Ãö«Ò¬q1111~1140¦a¸¹,122.52,¦í,,,10312,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2343601,19128,,0.0,0,¤g¦a¼W­Èµ|¥Ñ©Ó¶R¤HÃº¯Ç,RPSNMLLMLHKFFDT76CA
«n¦{¶m,¤g¦a,¸UµØ¬q121~150¦a¸¹,2887.94,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10403,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4550000,1576,,0.0,0,,RPVNMLLMLHKFFDT07CA
¨Î¥V¶m,¤g¦a,ªZ¤B¬q811~840¦a¸¹,5145.52,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10402,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6472136,1258,,0.0,0,,RPQNMLSKLHKFFFT27CA
¨Î¥V¶m,¤g¦a,·s®H¬q181~210¦a¸¹,127.63,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10403,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,300000,2351,,0.0,0,,RPPNMLKLLHKFFFT09CA
¸U¤¦¶m,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤¸U¤¦¶m¸U¤¦¸ô¤G¬q420«Ñ11§Ë1~30¸¹,106.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10401,¤g¦a2«Øª«1¨®¦ì0,¥þ,2,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0740910,105.3,3,1,1,¦³,µL,2500000,23742,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPRNMLSKLHKFFAT96DA
«ÌªFÉ],©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤«ÌªFÉ]ªZ©÷µó91~120¸¹,15.32,¦í,,,10401,¤g¦a1«Øª«1¨®¦ì0,¤@¼h¡A¤G¼h¡AÃM¼Ó,7,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0841125,180.83999999999997,3,2,2,¦³,µL,3800000,21013,,0.0,0,,RPRNMLNKMHKFFAT56DA
«ÌªFÉ],¤g¦a,«H©M¬q781~810¦a¸¹,148.43,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10402,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,10776,73,,0.0,0,¦V¬F©²¾÷Ãö©ÓÁÊ¤§®×¥ó¡C,RPOPMLTJMHKFFAT96DA
°ª¾ð¶m,¤g¦a,ªü©Þ¬u¬q31~60¦a¸¹,3291.0,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10403,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3730000,1133,,0.0,0,,RPSNMLRKLHKFFBT07DA
¤º®H¶m,¤g¦a,¦Ñ°ñ¬q91~120¦a¸¹,2600.0,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10402,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4900000,1885,,0.0,0,,RPTNMLLLLHKFFCT76DA
·s¶é¶m,¤g¦a,¤¤¬w¬q781~810¦a¸¹,362.52,¹A,,,10402,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1600000,4414,,0.0,0,,RPSNMLKMLHKFFDT76DA
¸U¤¦¶m,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤¸U¤¦¶m·s­í¸ô52«Ñ1~30¸¹,96.8,,¯S©w¹A·~°Ï,¥ÒºØ«Ø¿v¥Î¦a,10403,¤g¦a2«Øª«1¨®¦ì0,¥þ,4,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0820409,205.92,5,2,2,¦³,µL,3500000,16997,,0.0,0,,RPPNMLSKLHKFFAT76DA
·s¶é¶m,¤g¦a,·sªF¬q871~900¦a¸¹,253.84,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10312,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1978200,7793,,0.0,0,,RPUNMLKLLHKFFDT76CA
«í¬KÂí,¤g¦a,¤j¾ð©Ð¬q31~60¦a¸¹,2520.0,,°ê®a¤½¶é°Ï,,10402,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4600000,1825,,0.0,0,,RPRNMLLLLHKFFET66CA
·s¶é¶m,¤g¦a,´ä¦è¬q721~750¦a¸¹,1679.14,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10402,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1350000,804,,0.0,0,,RPPNMLSKLHKFFDT96CA
¼é¦{Âí,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤¼é¦{Âí¥ú¬K¸ô1~30¸¹,99.67,°Ó,,,10403,¤g¦a1«Øª«1¨®¦ì0,¥þ,3,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0870107,261.05,4,2,3,¦³,µL,10000000,38307,,0.0,0,,RPSNMLMJMHKFFCT56CA
¼é¦{Âí,¤g¦a,·R°ê¬q271~300¦a¸¹,3.31,¨ä¥L,,,10403,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,150000,45317,,0.0,0,,RPRNMLTJMHKFFCT17CA
¤º®H¶m,¤g¦a,•zÀYÃð¬q91~120¦a¸¹,3894.0,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10402,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6500000,1669,,0.0,0,,RPPNMLTKLHKFFCT96CA
¼é¦{Âí,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤¼é¦{ÂíºÖ¬P¸ô342«Ñ1~30¸¹,83.93,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì0,¥þ,4,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0831102,200.96,6,1,3,¦³,µL,5150000,25627,,0.0,0,,RPOPMLSKLHKFFCT96CA
¤º®H¶m,¤g¦a,Às¼æ¬q361~390¦a¸¹,239.51,¨ä¥L,,,10403,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,980000,4092,,0.0,0,,RPVNMLRKLHKFFCT37CA
·s°ñ¶m,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤·s°ñ¶m©¾§µ¸ô26«Ñ1~30¸¹,126.28,¦í,,,10403,¤g¦a2«Øª«1¨®¦ì0,¥þ,3,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0831214,165.27,4,2,3,¦³,µL,1500000,9076,,0.0,0,,RPVNMLTKLHKFFCT57CA
¼é¦{Âí,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤¼é¦{Âí¶}¥­¸ô30«Ñ1~30¸¹,155.45,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì0,¥þ,3,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1030617,145.8,5,2,4,¦³,µL,8500000,58299,,0.0,0,,RPPNMLRLLHKFFCT86CA
¸UÅr¶m,¤g¦a,¥Ã¼y¬q241~270¦a¸¹,1176.63,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10402,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1528000,1299,,0.0,0,,RPQNMLLMLHKFFCT09CA
¼é¦{Âí,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤¼é¦{Âí¤¤¿³¸ô31~60¸¹,120.6,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì0,¥þ,3,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1030611,174.32,4,2,3,¦³,µL,8500000,48761,,0.0,0,,RPWNMLKMLHKFFCT96CA
¼é¦{Âí,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤¼é¦{Âí¸U¦~¸ô91~120¸¹,181.16,¦í,,,10402,¤g¦a2«Øª«1¨®¦ì0,¥þ,3,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1031020,214.14,4,2,3,¦³,µL,10680000,49874,,0.0,0,,RPOOMLKMLHKFFCT88CA
¼é¦{Âí,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤¼é¦{Âí¥ú¬K¸ô15¡F1~30¸¹,499.94,¨ä¥L,,,10403,¤g¦a6«Øª«1¨®¦ì0,¥þ,1,³z¤Ñ­í,¨£¨Ï¥Î°õ·Ó,¨£¨Ï¥Î°õ·Ó,0921113,414.99,3,1,3,¦³,µL,7500000,18073,,0.0,0,,RPXOMLLJMHKFFCT07CA
fa72®H¶m,¤g¦a,¥Á·N¬q361~390¦a¸¹,603.18,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10403,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,248400,412,,0.0,0,·î¹s¦a©Î¦³¦X¨Ö¨Ï¥Î¤§¥æ©ö¡C,RPRNMLNLLHKFFBT56CA
°ª¾ð¶m,¤g¦a,ÂÂ¼d¬q121~150¦a¸¹,3247.0,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10402,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,8000000,2464,,0.0,0,,RPQNMLOLLHKFFBT56CA
«ÌªFÉ],©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤«ÌªFÉ]¾÷³õ¥_¸ô451~480¸¹,18.19,¦í,,,10403,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,14,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0881204,128.19,4,2,2,¦³,¦³,2280000,17786,,0.0,0,,RPSNMLOKMHKFFAT66CA
¸U¤¦¶m,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤¸U¤¦¶m¯uªZ¸ô1~30¸¹,100.5,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10402,¤g¦a1«Øª«1¨®¦ì0,¥þ,4,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840112,186.45,3,2,3,¦³,µL,3700000,19844,,0.0,0,,RPPOMLLJMHKFFAT68CA
¸U¤¦¶m,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤¸U¤¦¶m·s´Iµó271~300¸¹,188.78,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10402,¤g¦a2«Øª«1¨®¦ì0,¥þ,3,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1030818,250.86,5,2,5,¦³,µL,7800000,31093,,0.0,0,,RPRNMLTJMHKFFAT96CA
ªøªv¶m,¤g¦a,ÁcµØ¬q331~360¦a¸¹,366.53,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10403,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2772000,7563,,0.0,0,,RPOOMLTJMHKFFAT76CA
«ÌªFÉ],©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤«ÌªFÉ]¤j¬K¸ô101«Ñ57§Ë61~90¸¹,87.45,,¤@¯ë¹A·~°Ï,¥ÒºØ«Ø¿v¥Î¦a,10402,¤g¦a2«Øª«1¨®¦ì0,¥þ,3,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830623,142.49,5,1,2,¦³,µL,2700000,18949,,0.0,0,,RPUNMLKKMHKFFAT09CA
«ÌªFÉ],¤g¦a,·ç¥ú¬q1~30¦a¸¹,2318.0,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10402,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,5500000,2373,,0.0,0,,RPUNMLPLLHKFFAT96CA
«ÌªFÉ],©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤«ÌªFÉ]µØ²±µó1~30¸¹,89.0,°Ó,,,10312,¤g¦a1«Øª«1¨®¦ì0,¥þ,4,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0940601,188.51,4,2,3,¦³,µL,9000000,47743,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPSNMLNLLHKFFAT56CA
ªøªv¶m,¤g¦a,ÁcµØ¬q481~510¦a¸¹,2584.77,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10402,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4000000,1548,,0.0,0,,RPWNMLNLLHKFFAT96CA
«ÌªFÉ],©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤«ÌªFÉ]´_¿³«n¸ô¤@¬q18«Ñ1~30¸¹,69.0,¦í,,,10401,¤g¦a1«Øª«1¨®¦ì0,¥þ,2,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g¥[±j¿j³y,,78.4,3,2,2,¦³,µL,2100000,26786,,0.0,0,,RPTOMLTKLHKFFAT27CA
¸U¤¦¶m,¤g¦a,¦ËªL¬q1261~1290¦a¸¹,2366.6,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10312,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,7320000,3093,,0.0,0,,RPUOMLTKLHKFFAT37CA
¸U¤¦¶m,¤g¦a,¦ËªL¬q1291~1320¦a¸¹,2365.73,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10312,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,7317000,3093,,0.0,0,,RPVOMLTKLHKFFAT47CA
«ÌªFÉ],©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤«ÌªFÉ]©M¿³1~30¸¹,192.57,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10402,¤g¦a2«Øª«1¨®¦ì0,¥þ,2,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0690903,84.46,2,2,2,¦³,µL,2600000,30784,,0.0,0,,RPROMLSKLHKFFAT96CA
«ÌªFÉ],©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤«ÌªFÉ]ªZ·Rµó121~150¸¹,95.0,¦í,,,10403,¤g¦a1«Øª«1¨®¦ì0,¥þ,3,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1030324,204.32,6,2,4,¦³,µL,9700000,47475,,0.0,0,,RPQNMLSKLHKFFAT76CA
«ÌªFÉ],©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤«ÌªFÉ]ÀÙ«nµó1~30¸¹,27.56,¦í,,,10403,¤g¦a3«Øª«1¨®¦ì0,¤­¼h,5,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0700420,209.45999999999998,3,2,1,¦³,µL,900000,4297,,0.0,0,,RPWNMLSKLHKFFAT37CA
«ÌªFÉ],©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤«ÌªFÉ]¾÷³õ¥_¸ô571~600¸¹,8.7,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,14,®M©Ð(1©Ð1ÆU1½Ã),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0881204,61.39,0,0,1,µL,¦³,1430000,23294,,0.0,0,,RPPOMLSKLHKFFAT76CA
«ÌªFÉ],©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤«ÌªFÉ]¥Ã¦Nµó31~60¸¹,195.0,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì0,¥þ,3,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0960731,239.24,3,4,3,¦³,µL,10000000,41799,,0.0,0,,RPQOMLSKLHKFFAT86CA
¸U¤¦¶m,¤g¦a,ªÀ¤W¬q151~180¦a¸¹,2400.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10403,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,12200000,5083,,0.0,0,,RPSOMLSKLHKFFAT07CA
