╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~ды,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
дд├c░╧,дgжa,║aлnмq721~750жa╕╣,1246.3,жэ,,,10402,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,131953500,105876,,0.0,0,,RPOPMLQKLHKFFBH08CA
дд├c░╧,дgжa,║aлnмq721~750жa╕╣,706.84,жэ,,,10402,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,74837000,105875,,0.0,0,,RPPPMLQKLHKFFBH18CA
дд├c░╧,й╨жa(дgжa+л╪кл),оч╢щелдд├c░╧└ЇддкF╕ЇдGмq841~870╕╣,150.67,╣A,,,10403,дgжa2л╪кл2иожь0,е■,2,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0731130,243.68,0,0,0,╡L,╡L,38000000,155942,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPRRMLRKLHKFFBH68CA
дд├c░╧,й╨жa(дgжa+л╪кл),оч╢щелдд├c░╧╢└┐│╡є1~30╕╣,78.0,жэ,,,10301,дgжa1л╪кл1иожь0,д@╝hбAдG╝hбAдT╝hбAе|╝h,4,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0931111,199.98,6,2,2,ж│,╡L,15150000,75758,,0.0,0,,RPPNMLSKLHKFFBH18CA
╞[н╡░╧,дgжa,╞[╖sмq1531~1560жa╕╣,144.04,,д@пы╣A╖~░╧,е╥║╪л╪┐vе╬жa,10403,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,530000,3680,,0.0,0,е╗о╫дgжa╝Wн╚╡|е╤╢RеDнt╛с,RPRNMLSKLHKFFBH38CA
дд├c░╧,й╨жa(дgжa+л╪кл),оч╢щелдд├c░╧╡╪▓╗д@╡є3л╤6з╦1~30╕╣,26.5,жэ,,,10402,дgжa1л╪кл1иожь0,е|╝h,5,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0811208,95.83,3,2,2,ж│,╡L,2900000,30262,,0.0,0,,RPPQMLRKLHKFFBH38CA
╞[н╡░╧,дgжa,пє╖sмq481~510жa╕╣,59.26,ифеL,,,10402,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1015479,17136,,0.0,0,(е]зt)д╜ж@│]мIлOпdжaдзецйЎбC,RPVNMLTKLHKFFBH88CA
╞[н╡░╧,дgжa,пє╖sмq241~270жa╕╣,79.26,ифеL,,,10402,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1358280,17137,,0.0,0,(е]зt)д╜ж@│]мIлOпdжaдзецйЎбC,RPWNMLTKLHKFFBH98CA
╞[н╡░╧,дgжa,пє╖sмq481~510жa╕╣,57.2,ифеL,,,10402,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,980179,17136,,0.0,0,(е]зt)д╜ж@│]мIлOпdжaдзецйЎбC,RPXNMLTKLHKFFBH09CA
╞[н╡░╧,дgжa,╝s┐│мq571~600жa╕╣,117.93,дu,,,10403,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,178300,1512,,0.0,0,,RPSOMLTKLHKFFBH68CA
дд├c░╧,й╨жa(дgжa+л╪кл),оч╢щелдд├c░╧жие\╕Ї79л╤52з╦1~30╕╣,38.54,жэ,,,10402,дgжa1л╪кл1иожь0,д@╝hбAдG╝hбA├M╝╙,4,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэ░╙е╬,┐√╡м▓V╛одg│y,0701005,113.86,2,1,2,ж│,╡L,7000000,61479,,0.0,0,,RPUOMLTKLHKFFBH88CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧лс╝dдG╕Ї247л╤1~30╕╣,8.45,░╙,,,10402,дgжa1л╪кл1иожь1,дC╝h,12,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0890830,104.00999999999999,2,2,1,ж│,ж│,3000000,28843,йY╣Dенн▒,0.0,0,,RPQNMLKLLHKFFBH57CA
дд├c░╧,дgжa,е├┐│мq961~990жa╕╣,54.26,жэ,,,10403,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2650000,48839,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPOOMLKLLHKFFBH47CA
дд├c░╧,й╨жa(дgжa+л╪кл),оч╢щелдд├c░╧┐│дп╕ЇдGмq27л╤1~30╕╣,6.28,жэ,,,10403,дgжa1л╪кл1иожь0,дн╝h,6,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0850516,30.69,0,0,0,╡L,╡L,1445000,47084,,0.0,0,,RPPOMLQLLHKFFBH18CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq211~240╕╣,11.07,жэ,,,10403,дgжa2л╪кл1иожь1,д@╝hбAигифеL╡n░Oи╞╢╡,10,й▒н▒(й▒╛Q),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,78.7,0,0,0,╡L,ж│,8680000,110292,йY╣Dенн▒,28.23,0,,RPRNMLKMLHKFFBH77CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,20.79,жэ,,,10403,дgжa2л╪кл1иожь1,дG╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,125.56,2,2,1,ж│,ж│,7990000,63635,йY╣Dенн▒,28.23,0,,RPSNMLKMLHKFFBH87CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,20.79,жэ,,,10403,дgжa2л╪кл1иожь1,дT╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,125.56,2,2,1,ж│,ж│,8760000,69767,йY╣Dенн▒,28.23,0,,RPTNMLKMLHKFFBH97CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,20.79,жэ,,,10403,дgжa2л╪кл1иожь1,д╗╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,122.7,2,2,1,ж│,ж│,8470000,69030,йY╣Dенн▒,25.36,0,,RPUNMLKMLHKFFBH08CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,20.79,жэ,,,10403,дgжa2л╪кл1иожь1,дC╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,125.56,2,2,1,ж│,ж│,8080000,64352,йY╣Dенн▒,28.23,0,,RPVNMLKMLHKFFBH18CA
дд├c░╧,й╨жa(дgжa+л╪кл),оч╢щелдд├c░╧└Їжш╕ЇдGмq211~240╕╣,19.01,жэ,,,10403,дgжa2л╪кл1иожь0,д@╝hбAигифеL╡n░Oи╞╢╡,10,й▒н▒(й▒╛Q),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,89.25,0,0,0,╡L,ж│,12530000,140392,,0.0,0,,RPTOMLKMLHKFFBH08CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,23.7,жэ,,,10403,дgжa2л╪кл1иожь1,дG╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,139.11,3,2,1,ж│,ж│,9930000,71382,йY╣Dенн▒,28.23,0,,RPUOMLKMLHKFFBH18CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,23.7,жэ,,,10403,дgжa2л╪кл1иожь1,дT╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,139.11,3,2,1,ж│,ж│,10330000,74258,йY╣Dенн▒,28.23,0,,RPVOMLKMLHKFFBH28CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,23.7,жэ,,,10403,дgжa2л╪кл1иожь1,е|╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,139.11,3,2,1,ж│,ж│,9850000,70807,йY╣Dенн▒,28.23,0,,RPWOMLKMLHKFFBH38CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,23.7,жэ,,,10403,дgжa2л╪кл1иожь1,дK╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,139.11,3,2,1,ж│,ж│,9280000,66710,йY╣Dенн▒,28.23,0,,RPXOMLKMLHKFFBH48CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,23.7,жэ,,,10403,дgжa2л╪кл1иожь1,дE╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,139.11,3,2,1,ж│,ж│,9800000,70448,йY╣Dенн▒,28.23,0,,RPPPMLKMLHKFFBH77CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,14.98,жэ,,,10403,дgжa2л╪кл1иожь1,дG╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,95.42,2,2,1,ж│,ж│,6550000,68644,йY╣Dенн▒,25.36,0,,RPQPMLKMLHKFFBH87CA
дд├c░╧,й╨жa(дgжa+л╪кл),оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,14.87,жэ,,,10403,дgжa2л╪кл1иожь0,дT╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,70.06,2,2,1,ж│,ж│,5720000,81644,,0.0,0,,RPRPMLKMLHKFFBH97CA
дд├c░╧,й╨жa(дgжa+л╪кл),оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,14.87,жэ,,,10403,дgжa2л╪кл1иожь0,е|╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,70.06,2,2,1,ж│,ж│,5730000,81787,,0.0,0,,RPSPMLKMLHKFFBH08CA
дд├c░╧,й╨жa(дgжa+л╪кл),оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,14.87,жэ,,,10403,дgжa2л╪кл1иожь0,дн╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,70.06,2,2,1,ж│,ж│,4850000,69226,,0.0,0,,RPTPMLKMLHKFFBH18CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,14.98,жэ,,,10403,дgжa2л╪кл1иожь1,д╗╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,95.42,2,2,1,ж│,ж│,6400000,67072,йY╣Dенн▒,25.36,0,,RPVPMLKMLHKFFBH38CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,20.79,жэ,,,10403,дgжa2л╪кл1иожь1,дK╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,125.56,2,2,1,ж│,ж│,8860000,70564,йY╣Dенн▒,28.23,0,,RPXNMLKMLHKFFBH38CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,20.79,жэ,,,10403,дgжa2л╪кл1иожь1,дE╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,122.7,2,2,1,ж│,ж│,8640000,70416,йY╣Dенн▒,25.36,0,,RPQOMLKMLHKFFBH77CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,18.11,жэ,,,10403,дgжa2л╪кл1иожь1,дQ╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,113.05000000000001,2,2,1,ж│,ж│,9600000,84918,йY╣Dенн▒,28.23,0,,RPROMLKMLHKFFBH87CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,14.98,жэ,,,10403,дgжa2л╪кл1иожь1,дC╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,98.28999999999999,2,2,1,ж│,ж│,6570000,66843,йY╣Dенн▒,28.23,0,,RPVQMLKMLHKFFBH48CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їжш╕ЇдGмq226л╤1~30╕╣,14.98,жэ,,,10403,дgжa2л╪кл1иожь1,дK╝h,10,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031020,98.28999999999999,2,2,1,ж│,ж│,6180000,62875,йY╣Dенн▒,28.23,0,,RPWQMLKMLHKFFBH58CA
